Image,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
Almond/img_1.jpg,0.117562632,0.700277625,0.980145714,17.64752215,0.867374228,18.70103539,69.82518059,3.684068148,4.146332038,0.596103111,1.033939897,-0.655149024,0.991200712,0.080711518
Almond/img_10.jpg,0.100770152,0.823876145,0.973378027,15.46979439,0.853857797,18.3831851,61.05254186,3.765781958,4.261713157,0.695978417,1.096354843,-0.634582786,0.990439298,0.060420907
Almond/img_2.jpg,0.138190886,0.763810635,0.974867293,15.18950451,0.862317239,19.18792173,60.00563229,3.523730576,3.989624606,0.651091818,1.05342975,-0.620348247,0.986103158,0.107311255
Almond/img_3.jpg,0.217196709,1.246216749,0.956234817,14.22597427,0.854908584,19.77807927,55.69552718,3.251390228,3.795558155,1.090173995,1.132440144,-0.582036881,0.977698994,0.202337618
Almond/img_4.jpg,0.144143983,0.944127259,0.965849226,13.79631725,0.864720981,19.27812812,54.32835261,3.468152282,3.929977668,0.824100378,1.050038827,-0.613141585,0.984499334,0.078234646
Almond/img_5.jpg,0.106183726,0.655884245,0.984181828,20.74991695,0.866392982,16.74362036,82.26007429,3.673472868,4.120017717,0.554439852,1.025227435,-0.641683116,0.989801207,0.055259795
Almond/img_6.jpg,0.131479017,0.795166544,0.973999167,15.29724918,0.849224934,18.26748795,60.36922271,3.306907206,3.787444816,0.662200868,1.108533601,-0.571520665,0.975574952,0.080216468
Almond/img_7.jpg,0.139642996,1.496380561,0.95480049,16.55478141,0.848228667,18.39405866,64.71368319,3.541602795,4.125387848,1.303132166,1.198666769,-0.589094457,0.983956923,0.077674459
Almond/img_8.jpg,0.114039773,0.743831792,0.981971652,20.64634373,0.857347857,16.50677668,81.76900645,3.588423788,4.056974072,0.626067449,1.069112741,-0.623395091,0.987293457,0.067995177
Almond/img_9.jpg,0.089379706,0.716661223,0.981264238,19.14387022,0.854481806,17.08977919,75.75942595,3.866259814,4.353728564,0.597931948,1.071411728,-0.626170111,0.990534714,0.048578936
Ashoka/img1.jpeg,0.203070134,0.773034916,0.95855698,9.33545197,0.912277434,20.40945633,36.53178269,3.04306621,3.340203702,0.712311572,0.802101584,-0.695000461,0.985663388,0.10168303
Ashoka/img10.jpeg,0.168222349,1.276841104,0.961914272,16.73451111,0.840958392,21.34907565,65.77172133,3.590714499,4.194247347,1.090161942,1.217882199,-0.617215758,0.988112572,0.146464056
Ashoka/img2.jpeg,0.211415518,0.831730636,0.958887112,10.13603881,0.889803838,21.37067632,39.62166187,3.215806924,3.658794509,0.741928666,0.951576463,-0.659178242,0.986246715,0.180645016
Ashoka/img3.jpeg,0.119968642,1.241458347,0.956453503,14.28726652,0.883880381,19.66880717,55.76059386,3.762808752,4.240280878,1.124385804,1.002722949,-0.695642401,0.994565077,0.061710844
Ashoka/img4.jpeg,0.15312755,1.072787118,0.945783661,9.890854502,0.887786976,22.55077365,38.5008898,3.293301397,3.670473265,0.971772961,0.948176858,-0.657629013,0.986229515,0.096486866
Ashoka/img5.jpeg,0.10967405,0.888553594,0.969092001,14.3723946,0.869585998,20.83844217,56.60621834,3.765926164,4.242078269,0.774200427,1.04116217,-0.658322742,0.992211724,0.070958198
Ashoka/img6.jpeg,0.246667875,1.396616133,0.937179426,11.07447349,0.902053217,23.78463082,43.05507949,2.88100576,3.285331379,1.28939063,0.909148399,-0.646473989,0.978154909,0.13281126
Ashoka/img7.jpeg,0.165997642,1.454005778,0.948673578,13.93456515,0.91101034,24.42230764,55.0458784,3.285927522,3.634687131,1.361965993,0.845484345,-0.722007253,0.991891256,0.083845689
Ashoka/img8.jpeg,0.182470763,1.193463213,0.944926639,10.7776249,0.898694912,23.72729206,42.11759718,3.225510559,3.604013513,1.094961563,0.913268084,-0.670701346,0.986798439,0.09130285
Ashoka/img9.jpeg,0.096370683,0.841418255,0.974069391,16.25094445,0.84728115,18.02779377,64.04835341,3.67593345,4.230040712,0.698095587,1.152861779,-0.618038396,0.98857542,0.032619573
Bamboo/img1.jpeg,0.22668338,0.250478262,0.98818876,10.60129644,0.956451546,18.84345896,42.16295895,2.653591336,2.787898548,0.238412722,0.471993563,-0.801699878,0.987982004,0.14246059
Bamboo/img10.jpeg,0.253193181,0.259787154,0.985461909,8.934777344,0.958395942,19.45858172,35.47903811,2.500915523,2.625173085,0.248238532,0.4558825,-0.796411627,0.98440024,0.172867638
Bamboo/img2.jpeg,0.344654157,0.292820615,0.97856908,6.83404999,0.961896928,19.2330606,27.0319212,2.250903342,2.36219803,0.282245577,0.42620897,-0.796084695,0.97801619,0.301255999
